Comp,RIOTs,Evidence,Assessment,Criteria
"3.5.1.1 Describe the 
purpose of an in-vivo 
dosimetry program","o  MSc coursework 
o  Read and summarise literature 
o  Participate in a departmental tutorial or 
training day 
o  Observe / assist with in-vivo dose 
measurements","o  MSc assessment 
o  Logbook notes 
o 
Short report","o  RPL 
o  Assessor review 
of evidence / 
discussion and 
Q&A","o  Understands how in-vivo dosimetry fits in to the bigger 
picture of accurate dose delivery to an RT patient.  
o 
Ideally verifies the complete treatment delivery chain.  
o  May help identify / prevent radiation accidents 
o  Monitoring dose for organs at risk, pacemakers, junction 
doses, special techniques 
o  Legally required for all patients in some countries, 
recommended in ARPANSA RPS14.3 for new techniques  
o 
Identifies limitations of in-vivo dosimetry such as 
o  Difficulty relating dose measured to dose at point of 
interest 
o  Effect of positional uncertainties  
o  Logistical issues (e.g. workload,  resources required to 
resolve discrepancies, need for rapid turn-around)"
"3.5.1.2 Understand 
the advantages and 
disadvantages of a 
range of detectors 
for an in-vivo 
dosimetry program","o  MSc coursework 
o  Read literature and tabulate advantages and 
disadvantages of a range of in-vivo dosimetry 
detectors 
o  Participate in a departmental tutorial or 
training day","o  MSc assessment 
o 
Summary table","o  RPL 
o  Assessor review 
of evidence / 
discussion and 
Q&A","o  Lists properties that impact on the accuracy and precision of 
in-vivo dosimetry measurements such as: 
o  Spatial resolution, energy dependency, directionality, 
temperature dependence, reproducibility, inherent 
buildup,  
o  Aware of the range of detectors used such as: 
o  Diodes, TLDs, MOSFETs, film, EPIDs 
o 
Identifies suitable detector for measurement, considering 
the above properties and practical issues such as ease of 
positioning, patient comfort and time required for readout."
"3.5.2.1 Perform in-
vivo dosimetry 
measurements.","o  Perform in-vivo dosimetry measurements as 
required for a range of simple and more 
complex measurement scenarios, such as eye 
dose, gonad dose, TBI, junctions, skin, delivered 
dose in field. 
o  Perform measurements with different detectors 
if feasible.","o 
In vivo dosimetry 
reports 
o  Case study 
reports","o  Observation 
o  Assessor review 
of report / 
discussion and 
Q&A","o  Meets general criteria for practical work 
o 
Identifies roles of professional groups in the in-vivo 
dosimetry program. 
o  Meets general criteria for communication and 
professionalism with patient and members of 
multidisciplinary team  
o  Communicates outcome clearly"
"4.4.1.1 Understand 
the principles of 
IGRT","o  MSc coursework. 
o  Read and summarise references. 
o  Read departmental protocols 
o  Observe IGRT imaging, planning and treatment, 
including MV portal imaging, and kV linac based 
imaging. 
o 
Site visits to other centres to observe other 
treatment localization imaging if not done in 
department, e.g., ultrasound, cone beam CT, 
Floor mounted kV imaging, CT on rails 
o  Attend workshops","o  MSc coursework.  
o 
Summary notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes importance of geographic accuracy of treatment 
for patient outcomes 
o  Describes requirements of Radiation Oncology imaging 
systems  
o  Describes imaging systems and image acquisition; image 
handling, storage, registration, fusion and planning 
applications, 3D and 4D 
o  Defines IGRT and explains how IGRT differs from patient 
setup using external landmarks 
o  Explains sources of systematic and random positional 
uncertainty and error including, for example: 
o  CT, MRI and PET imaging, such as, orthogonality of 
images to couch, couch sag, distortion, resolution 
o 
linac related, such as, mechanical and radiation accuracy 
o  setup related, such as laser positional accuracy 
o  patient related, such as, interfraction and intrafraction 
movement, fiducial marker relative to internal position 
o  Discusses impact of IGRT on planning margins. 
o 
Identifies groups of patients where IGRT is desirable and 
explains why IGRT is desirable for those groups 
o  Describes methods to perform IGRT and their pros and cons 
(e.g. on patient dose, image quality, accuracy), for example 
o  Port films, MV EPID planar and cone-beam CT imaging, 
kV planar and cone-beam CT imaging, ultrasound, 
infrared reflective markers, optical surface systems, 
electromagnetic transponders, CT on rails 
o  Describes IGRT strategies, such as: 
o  no-action-level 
o 
threshold level 
o  verification after move 
o 
frequency of imaging, e.g. per faction or per 5 fractions"
"6.7.3.1 Develop or 
critically evaluate a 
quality management 
program for a 
brachytherapy 
system","o  Analyse an existing commissioning and ongoing 
QA program and make recommendations or 
develop a new program for a LDR, HDR or PDR 
system.  
o  Respond to faults (consider past published 
incidents) 
o  Write an emergency procedure for an HDR 
service and conduct emergency drills 
o  Analyse an existing or develop a comprehensive 
safety program for an LDR prostate implant 
service 
o  Audit a QM program at another centre 
o  Train others in quality management for 
brachytherapy","o  New program or 
report 
summarizing 
recommendations","o  Review of 
program or report 
by assessor  
o  Drill into 
knowledge in an 
unfamiliar 
situation in a 
mock oral exam","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Able to perform  quality management for a clinical 
brachytherapy system under minimal supervision 
o  Applies prior knowledge to unfamiliar situations and 
recognises limitations;  e.g. if training completed for HDR, 
should discuss what would need to be considered for LDR 
o  Exercises judgement regarding safe use of brachytherapy 
equipment in clinical situations"
"6.7.3.2 Perform 
calibration of 
brachytherapy 
sources according to 
established protocols","o  Mock exam of calibration  
o  Respond to a mock fault condition 
o  Develop new departmental protocol for 
absolute dosimetry 
o  Review existing protocols and make 
recommendations 
o  Review of department’s absolute dosimetry 
after recalibration of reference chamber 
o  Audit dose at another department 
o  Compare and contrast different dosimetry 
protocols","o  New protocol, 
protocol review 
and written or 
oral report.","o  Review and Q&A 
with Assessor  
o  Drill into 
knowledge in an 
unfamiliar 
situation in a 
mock practical or 
oral exam","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Able to perform  brachytherapy source calibration for 
clinical use under minimal supervision 
o  Recommends actions to be taken in the event of a 
discrepancy between measured and certified source 
strength 
o  Applies prior knowledge to unfamiliar situations and 
recognises limitations 
o  Recognises advantages and disadvantages of different 
source calibration techniques"
"1.3.1.1 Demonstrate 
professional 
behaviour in a 
clinical environment","o  Attend hospital education sessions on infection 
control, confidentiality and patient interactions 
o  Review patient and staff support 
o  Attend clinics and learn appropriate 
interactions with patients and other health 
professionals 
o 
Summarise the roles and responsibilities of the 
members of the multidisciplinary team in a 
clinical department, e.g. ARPANSA RPS 14.3","o  Attendance 
records at  
mandatory 
training for 
hospital/departm
ent 
o  Logbook notes","o  Assessment by 
observation 
o  Review of 
evidence","o  Demonstrates patient care and rapport 
o  Explains legal requirements for patient privacy and 
confidentiality. 
o  Demonstrates correct hygiene/infection control procedures. 
o  Responds appropriately to reactions of patients and their 
carers. 
o  Defines the roles and responsibilities of the members of the 
multidisciplinary team within their department. 
o  Meets general criteria for interpersonal communication 
o  Meets general criteria for professionalism"
"6.7.3.5 Provide 
advice on 
brachytherapy 
treatment planning 
and delivery","o  Develop new departmental treatment planning 
protocol for brachytherapy (actual or repeat) 
o  Develop new departmental treatment delivery 
protocol for brachytherapy (actual or repeat) 
o  Review existing protocols and make 
recommendations 
o  Resolve treatment planning issues in 
brachytherapy 
o  Participate in research projects related to 
brachytherapy treatment planning 
o  Explain rationale for modifications to standard 
plans for specific cases 
o  Analyse the uncertainties involved in the 
planning process and suggest how planning 
practice could be improved to reduce 
uncertainty 
o  Perform treatment planning and delivery under 
clinical time constraints","o  New protocol, 
protocol review 
and written or 
oral report 
o  Case studies","o  Review and Q&A 
with Assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Able to perform  treatment planning for a clinical patients 
under minimal supervision 
o  Applies prior knowledge to treatment planning of unfamiliar 
sites 
o  Applies prior knowledge to treatment delivery of unfamiliar 
sites 
o  Exercises judgement regarding safe planning and delivery of 
brachytherapy treatments 
o   Understands sources of uncertainty in treatment planning 
and delivery and advises on clinical impact  
o  Makes recommendations for the safe and optimal practice of 
brachytherapy treatment planning 
o  Refers to literature to support conclusions 
o  Provides appropriate clinical advice"
"8.6.1.1 Understand 
the physical 
principles and 
operation of 
ultrasound imaging 
systems","o  MSc coursework. 
o  Read and summarise references, e.g. IAEA DR 
Handbook, Bushberg (Essential physics for 
medical imaging) 
o  Attend a teaching session with a DIMP 
o  Observe maintenance and QA of ultrasound 
systems. 
o  Observe clinical use of ultrasound in diagnostic 
departments and contrast with its use for 
radiation therapy planning (for example using 
knowledge gained from competencies 4.4 and 
6.4).  Note how imaging parameters are 
optimized for the clinical application 
o  Review specialist and emerging ultrasound 
techniques such as elasticity measurements for 
breast cancer detection","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes. 
o  Answers to online 
resources on 
eLearning website","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Explains the basic physics of ultrasound including  image 
formation, B-mode and Doppler imaging 
o  Describes typical configuration of ultrasound scanners 
(block diagram) 
o  Explains how ultrasound scan settings affect the image 
quality parameters listed in 8.1.1.2 
o  Describes typical artifacts observed in ultrasound images 
o  Describes ultrasound imaging strengths and weaknesses"
"8.6.1.2 Understand 
the safety and quality 
management 
procedures for 
ultrasound imaging 
systems","o  MSc coursework. 
o  Read and summarise references, such as AAPM 
Report 65 Real time B-mode ultrasound quality 
control test procedures and AAPM Report 28 
Quality assurance tests for prostate 
brachytherapy ultrasound systems 
o  Read departmental safety and QM protocols 
o  Observe QM of ultrasound imaging systems in 
diagnostic and therapy departments","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes the safety requirements for ultrasound imaging 
systems  
o  Describes the quality management procedures for 
ultrasound imaging systems, as listed in a suitable published 
protocol, e.g.  AAPM Reports 65 and 128 
o  Discusses differences between ultrasound quality 
management procedures required in the diagnostic imaging 
and therapy departments 
o  Describes the role of a DIMP in safety and quality 
management of ultrasound systems"
"8.6.1.3 Understand 
how ultrasound 
images are used in 
the management of 
cancer","o  MSc coursework. 
o  Read and summarise references, e.g. studies of 
the impact of ultrasound and other imaging 
modalities on cancer management, such as 
RCR2004 Imaging for Oncology.  
o  Observe ultrasound patient imaging for 
diagnosis, staging, treatment planning, image 
guidance and monitoring 
o  Patient case study 
o  Observe diagnostic imaging procedures for 
different body sites and with different imaging 
modalities to gain an understanding of which 
aspects of image quality are clinically important.  
Discuss with a radiologist, a DIMP and/or 
diagnostic radiographer.  Observe a radiologist’s 
reporting session if possible.","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes how ultrasound images are used in the 
management of cancer, for example, in diagnosis, staging, 
treatment planning, image guided therapy and monitoring.  
o  Discusses the pros and cons of ultrasound imaging in the 
management of cancer 
o  Illustrates this by describing at least two clinical scenarios 
where ultrasound imaging is used, e.g. to differentiate solid 
and cystic lesions"
"4.3.1.1 Understand 
principles of patient 
setup and 
immobilisation and 
use of beam 
modifiers","o  Observe simulation, planning and treatment 
o  Read departmental protocols  
o  Complete level 1 of competency 5.3.","o  Log book notes. 
o 
Short summary of 
setup techniques 
used.","o  Discussion with 
assessor","o  Explains patient setup using lasers on CT/simulator and 
linac 
o  Describes purpose and function of immobilisation devices 
such as breast boards, head and neck masks, indexing, 
vacuum bags, knee supports 
o  Describes purpose and function of localisation aids, such as 
tattoos, wires, fiducial markers 
o  Discusses uncertainties, margins and verification of setup  
o  Discusses differences in localisation and setup for photon, 
electron and kV treatments 
o  Discusses the above points for at least four common 
treatment techniques, such as breast, prostate, head and 
neck, lung, palliative, skin 
o  Completes level 1 of competency 5.3 to demonstrate 
understanding of principles and use of beam modifiers."
"4.3.2.1 Commission 
and perform QA on 
beam modifiers, 
patient positioning 
and immobilization 
devices","o  Read and summarise references. 
o  Read previous departmental commissioning 
reports. 
o  Perform commissioning and QA tests on beam 
modifiers, patient positioning and 
immobilization devices, e.g.: 
o  Bolus  
o  Patient support devices 
o  Head and neck masks 
o  Vacuum bags 
o  Compensators 
o  Fiducial marker systems 
o  Beam spoilers","o 
Summary notes. 
o  Commissioning 
report 
o  Test and QA 
records","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Performs appropriate tests and measurements, for example,  
o  Transmission factor, skin dose, uniformity, dimensional 
accuracy and consistency, CT number, positional 
reproducibility, suitability for use with imaging systems 
o 
Identifies limitations and tolerances 
o  Draws appropriate conclusions from results"
"2.5.1.1 Understands 
how the principles of 
radiation protection 
are applied in the 
department","o  Read radiation safety manual. 
o  Attend radiation safety training sessions for 
different staff groups  
o  Review plan of department showing controlled 
areas","o  Logbook notes. 
o  Certificate of 
attendance","o  Question and 
answer","o  Clearly outlines application of key principles (justification, 
optimization, limits) and quantifies risk to target groups 
including: 
o  Patients undergoing medical imaging 
o  Patients undergoing radiotherapy treatment 
o  Participants in clinical trials 
o  Public 
o  Staff 
o 
Identifies controlled areas in department"
"2.5.2.1 Identify risk 
of radiation damage 
during radiotherapy 
treatment and 
explain methods for 
minimizing damage","o  Read and summarise relevant texts. 
o  Discuss with physicists, ROs and RTs. 
o  Read planning protocols and participate in 
treatment planning. 
o  Observe and advise on radiation protection in 
treatment delivery. 
o  Make dose estimates and risk assessments for 
treatment scenarios, including foetus, gonads, 
lens and pacemaker. 
o  Communicate radiation risks","o 
Summary notes. 
o  Logbook notes. 
o 
Summary of 
activities in 
planning / 
treatment.","o  Assessor review 
of evidence  
o  Q&A session with 
assessor.","o  For given treatment scenario: 
o  Recommends radiation constraints 
o 
Identifies sources of dose and estimates magnitude, e.g.  
internal and external scatter, neutron activation, head 
leakage, imaging dose, additional dose in clinical trials. 
o  Suggests dose reduction methods, for example, shielding, 
beam directions, IMRT, physical removal of pacemaker. 
o  Communicates radiation risks effectively"
"2.5.2.2 Understand 
principles and 
practice for personal 
monitoring","o  Assist with management of staff monitoring 
program  
o  Compare current readings with historic results. 
o 
Investigate sources of high readings. 
o  Communicate radiation risks 
o  Compare RT, RO, physics and nursing results 
with other occupationally exposed groups, e.g. 
nuclear medicine technicians , interventional 
radiologists and cardiologists","o  Logbook evidence. 
o  Reports of 
comparisons and 
individual 
investigations.","o  Assessor review 
of reports. 
o  Q&A session with 
assessor.   
o","o  Understands need for personal monitoring. 
o  Knows procedure for personal monitoring, e.g., who changes 
badges, where results are stored, who views results. 
o  Knows types and applications of monitoring devices, e.g., 
TLD, OSL, ion chamber, finger monitors. 
o  Takes appropriate action in response to results. 
o  Covers all aspects in investigation. 
o 
Interprets results from different professional groups, and 
different work areas in department. 
o 
Identifies how staff deal with short term exposure of nuclear 
medicine patients 
o  Communicates radiation risks effectively"
"2.5.2.3 Understands 
principles and 
practice for 
protection of the 
public in 
radiotherapy 
practice","o  Read and summarise information provided to 
the public 
o  Observe and participate in advising public of 
radiation safety requirements 
o  Communicate radiation risks","o  Logbook evidence. 
o 
Summary report.","o  Q&A session with 
assessor.  
Assessor review 
of reports.","o  Knows appropriate information, for example 
o 
Information given to LDR patients 
o  Nuclear medicine patients 
o  Signage for controlled areas 
o 
Imaging doses for carers 
o  Communicates radiation risks effectively"
"5.1.2.3 Perform 
commissioning tests 
on an external beam 
radiotherapy 
treatment planning 
system.  3","o 
Identify commissioning  tests that are required 
based on clinical need 
o  Compare departmental commissioning protocol 
with recommendations of TRS430 and TecDoc 
1583 
o  Review departmental test procedures and 
worksheets for TPS commissioning. 
o  Perform commissioning tests on a new or 
upgraded external beam radiotherapy TPS or 
simulate for existing system 
o  Participate in multi-disciplinary meetings 
during TPS commissioning 
o 
Starting from scratch, commission a photon 
beam and an electron beam in a real or mock 
scenario 
o  Participate in establishing a program for 
ongoing QA of TPS  
o  Assist with the writing of clinical release notes 
for a new TPS or algorithm upgrade advising 
department on changes and/or limitations.","o 
Summary notes. 
o  Report on 
commissioning 
tests","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor. 
o 
Imaging aspects 
from 5.2 may be 
assessed in 
conjunction","o  Meets general criteria for practical work 
o  Performs and explains significance of  tests listed in a 
suitable protocol and relates to clinical need 
o  Competent use of TPS software and operating system as 
required for tests, including tools for clinical planning, beam 
modelling, data analysis and system management.   
o  For both a photon beam and an electron beam model: 
o 
Identifies input data required by TPS  
o  Describes system’s methods of using data entered e.g. 
PDD data entered but TPR data converted internally or 
output factors entered by user and collimator scatter 
factors produced by software.  
o  Verifies suitability of input data for modelling, including 
measurement technique and data manipulations such as 
smoothing/symmetrizing/normalizing and consistency 
checks. 
o  Describes all parameters used in beam model. 
o  Demonstrates logical process for optimizing beam model. 
o  Tests accuracy of optimized beam model against 
measurement, quantifies results and demonstrates 
awareness of clinical implications.   
o   Understands all the steps required to commission the TPS 
including development of planning protocols, training staff, 
documentation 
o  Describes relationship between commissioning tests and 
ongoing QA. 
o 
Identifies the baseline data required to build an ongoing QA 
program"
"5.1.2.4 Perform QA 
tests on an external 
beam radiotherapy 
treatment planning 
system.","o  Review departmental test procedures and 
worksheets for QA. 
o  Perform routine QA checks on a TPS according 
to departmental protocols 
o  Monitor TPS fault logs and system maintenance 
records 
o  Monitor vendor communications about the TPS","o 
Summary notes. 
o  QA records","o  Review records 
o  Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Performs and explains significance of tests listed in a 
suitable protocol and relates to clinical need 
o  Competent use of TPS software and operating system as 
required for tests, including tools for clinical planning, data 
analysis and system management.  
o 
Identifies appropriate tolerances for QA tests. 
o  Takes appropriate action to ensure patient safety in fault 
situations and in response to vendor notifications"
"3.2.1.1 Understand 
the physical 
principles, operation 
and use of phantoms","o  MSc coursework. 
o  Read and summarise references. 
o  Participate in dose measurements using 
phantoms.","o  MSc assessment 
o 
Summary notes. 
Logbook notes.","o  RPL 
o  Review and Q&A 
with Assessor","o  Understands the concept of tissue equivalence and its 
relationship to physical density, electron density, atomic 
number, attenuation coefficients, scattering power and 
stopping power for kV photons, MV photons and electrons. 
o  Explains the advantages, disadvantages and utility of 
common phantom materials (refer to ICRU Report 44, 
Tissue Substitutes in Radiation Dosimetry and 
Measurement), including: 
o  Water 
o  Perspex 
o  Polystyrene 
o  Water equivalent plastics 
o  Tissue substitutes, e.g. bone, lung 
o  Explains correction factors required for non-water-
equivalent phantom materials (difference for photons and 
electrons). 
o  Understands the relationship between phantom design and 
purpose, for example 
o  Scanning detector water tank phantoms 
o  Shape and size, considering issues such as electronic 
equilibrium, scatter, backscatter 
o  Construction, e.g. slab phantoms for electron dosimetry 
o  Composition 
o  Detector compatibility 
o  Anthropomorphic phantoms 
o 
Intercomparison jigs or blocks 
o  Calibration blocks 
o  CT/MR/PET compatibility"
"4.1.2.3 Perform QA 
for a linear 
accelerator","o  Read and summarise references. 
o  Read previous departmental QA reports and 
protocols. 
o  Perform regular (e.g., daily, weekly, fortnightly, 
monthly, quarterly, annual) QA on a linac 
according to established protocols under 
general supervision 
o  Review common faults and interlocks 
encountered on the linac and corrective action 
taken","o 
Summary notes. 
o  QA records and 
reports 
o  Written exam 
answers 
o  Clinical skills 
assessment","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Describes the role of a QA program and its relevance to 
patient outcomes 
o 
Identifies roles of multidisciplinary team in QA, e.g. AAPM 
TG40. 
o  Explains purpose of QA tests and their tolerances 
o  Explains test frequency and relationship between daily, 
medium and longer term QA. 
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g. AAPM TG-142, Van Dyk §11.9, departmental 
protocol. 
o  Draws appropriate conclusions from results"
"4.1.3.1 Perform 
quality management 
and provide 
scientific advice on 
linear accelerators","o  Participate in managing acceptance of a new, 
upgraded or relocated linac 
o  Participate in managing commissioning of a 
new, upgraded or relocated linac 
o  Compare and contrast the departmental QM 
programs with national/international 
guidelines and best practice and make 
recommendations 
o  Develop new commissioning project plan for a 
linac 
o  Develop new ongoing QA program for a linac 
o  Participate in managing an ongoing QA program 
for a linac 
o  Respond to faults and perform tests to return a 
linac to service after repairs in real or mock 
exam scenarios 
o  Analyze the consequences of faults in major 
components of a linac and the tests required to 
return the linac to service 
o  Prepare specifications and advice for new 
equipment 
o  Commission a new QC tool, considering 
advantages, disadvantages and uncertainties.","o  New program or 
report 
summarizing 
recommendations 
o  Completed 
acceptance 
and/or 
commissioning 
records 
o  Mock exam 
results 
o  Documentation of 
fault repair and 
return of linac to 
clinical service","o  Review of 
program or report 
by assessor 
o  Mock exam","o  Meets general criteria for practical work 
o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o 
Identifies potential consequences (e.g. change in energy, 
output, mechanical position etc.) as appropriate for the 
scenario 
o 
Identifies appropriate tests and measurements and a logical 
order in which to perform them 
o  Describes different methods of performing tests, such as: 
determining collimator angle zero, measuring flatness and 
symmetry, checking radiation source position 
o  Understands how the test conditions and measurements 
relate back to clinical use of the equipment (e.g. number of 
MU delivered for an EPID image quality test) 
o  Understands importance of time constraints and meeting 
milestones and deadlines 
o  Explains how the linac is integrated with other linacs and 
radiotherapy systems, such as imaging, treatment planning 
and R&V systems. 
o  Analyses differences between departmental procedures and 
tolerances and published recommendations. 
o  Describes new approaches to QM (e.g. AAPM TG-100) 
o  Describes impact of known incidents and accidents on the 
local QM system and makes recommendations"
"5.3.2.1 Perform 
megavoltage external 
beam treatment 
planning according 
to established 
protocols","o  Perform treatment planning for a variety of 
treatment sites according to established 
protocols, including at least: 
O  Four plans requiring use of the 
computerized TPS 
O  One IMRT or VMAT plan 
O  One manual MV photon plan 
O  One plan involving the use of electrons 
o 
  For example:  
o  Prostate 
o  Breast 
o  Head & neck 
o  Lung 
o  Gynae 
o  CNS 
o  Rectum 
o  Skin 
o  Palliative or emergency patients 
o  Calculate MU using TPS and check system","o  Completed 
treatment plans 
and 
documentation","o  Review completed 
plans 
o  Q&A with 
Assessor. 
o  Observation of 
planning by 
Assessor.","o  Demonstrates ability to perform treatment planning 
according to established protocols  including at least: 
o  Four plans requiring use of the computerized TPS 
o  One IMRT or VMAT plan 
o  One manual MV photon plan 
o  One electron plan 
o  Explains rationale for protocol, including dose to PTV and 
sparing of OAR 
o  Produces plan that meets protocol requirements 
o  Describes strategy used to achieve acceptable plan, such as 
choice of beam modality and energy, beam angles, field sizes 
and modifiers 
o  Consults a colleague experienced in planning as to whether 
the plans would be acceptable 
o  Uses computerized treatment planning system competently 
and efficiently 
o  Correctly calculates MU using TPS and check system  
o 
Identifies any aspects that would need to be raised with the 
ROs and RTs, e.g. internal or external shielding, bolus, small 
fields, stand-off etc."
"5.3.2.2 Perform kV 
external beam 
treatment planning 
according to 
established protocols","o  Perform treatment planning for at least two 
patient cases 
o  Calculate MU or treatment time manually and 
using check system if available 
o 
Investigate rationale for choosing kV or 
electrons for specific cases","o  Completed 
treatment plans 
and 
documentation","o  Review completed 
plans and Q&A 
with Assessor. 
o  Observation by 
Assessor.","o  For at least two kV patient cases: 
o  Describes rationale for  protocol including margins and 
sparing of OAR where relevant 
o  Produces plan that meets protocol requirements 
o  Describes strategy used to achieve acceptable plan, such 
as beam energy, beam orientation, field sizes, packing, 
bolus and shielding 
o  Consults a colleague experienced in kV planning as to 
whether the plans would be acceptable 
o  Correctly calculates MU or treatment time 
o 
Identifies any aspects that would need to be raised with 
the ROs and RTs, e.g. internal or external shielding, stand-
off etc."
"4.5.3.1 Perform 
quality management 
and provide 
scientific advice on 
radiotherapy CT 
scanners","o  Participate in managing acceptance of a CT 
o  Participate in managing commissioning of a CT 
o  Compare and contrast the departmental QM 
programs with national/international guidelines 
and best practice and make recommendations 
o  Develop new commissioning project plan for a 
CT 
o  Develop new ongoing QA program for a CT 
o  Participate in managing an ongoing QA program 
for a CT 
o  Respond to faults and perform tests to return a 
CT to service after repairs 
o  Analyze the consequences of faults in major 
components of a CT and the tests required to 
return the unit to service 
o  Prepare specifications and advice for new 
equipment 
o  Commission a new QC tool, considering 
advantages, disadvantages and uncertainties. 
o  Participate in development of a new protocol 
and QM program for advancing techniques, e.g. 
4DCT","o  New program or 
report 
summarizing 
recommendations 
o  Completed 
acceptance and/or 
commissioning 
records 
o  Mock exam results 
o  Documentation of 
fault repair and 
return of CT to 
clinical service","o  Review of program 
or report by 
assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Identifies potential consequences (e.g. change in energy, 
image quality, patient dose etc.) as appropriate for the 
scenario 
o  Identifies appropriate tests and measurements and a logical 
order in which to perform them 
o  Understands the implications of differences between test 
conditions and clinical use of the equipment (e.g. kV, mAs, 
axial, helical etc.) 
o  Understands importance of time constraints and meeting 
milestones and deadlines 
o  Analyses differences between departmental procedures and 
tolerances and published recommendations."
"6.1.1.1 Understand 
the basic physics 
principles of HDR 
and PDR sources.","o  MSc Coursework 
o  Read and summarise textbooks or literature","o  University 
assessment 
o 
Summary notes.","o  RPL 
o  Review notes and 
Q&A with 
Assessor.","o  Explains the basic physics of HDR and PDR radioactive 
sources including  
o  source production 
o  decay modes 
o  exponential decay and half-life 
o  physical dimensions and encapsulation 
o  energy spectrum  
o  activity, specific activity and source strength 
o  Explains what characteristics of an isotope make it suitable 
for HDR and PDR (not just what is available)"
"6.1.1.2 Describe the 
design principles and 
operation of HDR 
and PDR systems.","o  Read and summarise textbooks and manuals 
o  Observe a preventative maintenance service 
and source change for an HDR or PDR unit","o 
Summary notes. 
o  Logbook.","o  Review 
notes/logbook 
and Q&A with 
Assessor.","o  Describe the components of HDR/PDR brachytherapy 
systems including:  
o  radiation safety systems and shielding 
o  methods of source movement and positioning 
o  applicators/transfer tubes   
o 
timer systems, dwell times/positions 
o 
treatment control system, data transfer methods  
o  Explain the differences between afterloaders incorporating 
HDR and PDR"
"4.6.3.1 Perform 
quality management 
and provide 
scientific advice on 
kilovoltage therapy 
units","o  Participate in managing acceptance of a kV unit 
o  Participate in managing commissioning of a kV 
unit 
o  Compare and contrast the departmental QM 
programs with national/international guidelines 
and best practice and make recommendations 
o  Develop new commissioning project plan for a 
kV unit 
o  Develop new ongoing QA program for a kV unit 
o  Participate in managing an ongoing QA program 
for a kV unit 
o  Respond to faults and perform tests to return a 
kV unit to service after repairs 
o  Analyze the consequences of faults in major 
components of a kV unit and the tests required 
to return the unit to service 
o  Prepare specifications and advice for new 
equipment 
o  Commission a new QC tool, considering 
advantages, disadvantages and uncertainties.","o  New program or 
report 
summarizing 
recommendations 
o  Completed 
acceptance and/or 
commissioning 
records 
o  Mock exam results 
o  Documentation of 
fault repair and 
return of kV unit 
to clinical service","o  Review of program 
or report by 
assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Identifies potential consequences (e.g. change in energy, 
output,  mechanical position etc.) as appropriate for the 
scenario 
o  Identifies appropriate tests and measurements and a logical 
order in which to perform them 
o  Understands the implications of differences between test 
conditions and clinical use of the equipment (e.g. number of 
MU delivered, SSD etc.) 
o  Understands importance of time constraints and meeting 
milestones and deadlines 
o  Analyses differences between departmental procedures and 
tolerances and published recommendations."
